Landmarkcoord1_,Landmarkcoord2_,Landmarkcoord3_
-8.38793,-0.17055,7.88971
0.22482,-11.9836,-25.2348
-23.7021,29.6247,2.19166
-19.9336,9.38848,12.8251
15.1999,-12.4816,-0.380233
14.9463,-1.48433,21.6417
4.12812,-44.6696,34.6704
64.4806,30.9361,53.9301
33.4395,3.44691,36.7969
-31.3865,48.4313,73.4725
-2.84367,-29.0159,15.922
-5.87881,-4.37022,-59.2583
22.5037,-13.3288,-12.2057
-6.08664,-21.8081,-88.7282
8.28071,1.72645,7.16455
-60.9949,-37.4411,5.28665
33.4485,-59.7229,4.02514
-10.6279,6.3718,-2.99375
2.8501,7.18045,-26.756
-37.4746,25.682,24.2126
-1.67586,-0.524775,2.22663
-0.877087,41.398,-34.5017
14.1198,25.4475,-9.4854
46.5861,53.4054,-19.1225
-8.32599,-33.1031,-34.2352
-2.19901,9.18101,5.41162
-5.13792,-4.49016,7.70399
-31.5494,67.1998,66.8104
-52.8857,-15.0376,-69.4785
-24.3002,23.1479,24.8746
-19.0003,37.6441,88.0362
-59.3637,-65.8595,-16.2342
14.9458,18.3771,-15.0185
-36.6468,37.5574,14.5539
-24.8299,28.6171,-20.6727
-23.7931,-19.8637,6.62232
27.8499,-67.4823,-32.8729
39.1844,-21.0615,-11.8179
-38.9107,58.2924,-62.7278
5.73381,22.4186,-19.7545
23.9894,-9.21825,-23.2383
12.5726,15.1382,11.1063
-18.8452,14.7372,-40.3111
-47.8794,-39.9973,44.9247
-20.8431,13.4734,-16.0547
11.9146,-8.00849,6.21518
-10.5566,6.94487,0.0960847
-29.2704,67.5323,11.9583
-5.29884,59.5691,50.9196
17.4423,-13.1782,-3.72321
3.9514,-24.597,18.2427
-6.75047,-40.8685,90.8995
-10.3471,52.9845,50.3789
-9.14921,60.1976,-51.39
42.4257,1.1627,-22.5028
-45.5545,41.0588,68.2188
-1.55168,-2.07888,-8.3711
18.2117,19.735,13.5979
76.9278,-0.900662,-53.0485
-16.7563,36.088,-14.6606
3.24169,1.19748,-12.5929
71.4802,-49.8655,18.0649
-31.5441,-8.21334,-31.3442
16.8603,-12.3293,-54.2911
37.1016,24.8605,23.3096
24.8494,-31.5006,-15.5378
19.2824,-20.2731,5.0994
