Time,UAV_0ResidualError,UAV_1ResidualError,UAV_2ResidualError,UAV_3ResidualError
0,2820.05,2820.09,2816.25,2820.13
1,1635.78,1205.28,960.938,2372.65
2,928.989,789.123,689.518,127.701
3,469.565,316.558,160.94,98.1158
4,248.571,192.934,104.192,5.33431
5,111.046,61.3737,16.1844,0.568602
6,45.5699,27.9803,4.92395,0.00720998
7,13.8451,4.87876,0.359898,1.13822e-06
8,2.65531,0.603438,0.00265615,2.87306e-14
9,0.170734,0.00677292,1.3931e-07,0
10,0.000521506,1.03376e-06,0,0
11,6.14615e-09,2.30252e-14,0,0
