UAVrefcoord1_0,UAVrefcoord2_0,UAVrefcoord3_0,UAVrefcoord1_1,UAVrefcoord2_1,UAVrefcoord3_1
-618.647,413.539,66.7672,560.599,376.339,503.958
-617.99,414.11,66.2762,560.38,376.639,504.27
-618.209,414.41,66.5876,560.013,376.929,503.946
-618.576,414.7,66.2638,560.402,376.612,504.291
-618.188,414.383,66.6088,559.639,377.18,504.057
-618.951,414.951,66.3751,559.88,377.024,503.823
-618.71,414.795,66.141,559.665,376.882,504.199
-618.925,414.653,66.517,558.962,376.507,504.023
-619.628,414.278,66.3407,558.878,376.506,503.718
-619.712,414.277,66.0358,558.078,376.485,503.491
-620.512,414.256,65.8092,557.356,376.76,502.98
-621.234,414.531,65.2979,557.286,377.243,502.446
-621.303,415.014,64.7633,557.322,377.361,502.575
-621.268,415.132,64.8929,557.456,377.412,502.533
-621.134,415.183,64.8505,557.961,377.559,501.906
-620.629,415.33,64.2236,557.914,377.439,501.854
-620.676,415.209,64.1718,557.492,377.894,502.369
-621.097,415.665,64.6869,556.721,377.772,501.905
-621.868,415.543,64.2224,556.647,377.679,502.134
-621.942,415.45,64.4513,556.969,378.056,502.509
-621.621,415.827,64.8266,557.459,378.351,501.749
-621.13,416.122,64.0663,557.928,378.886,502.068
-620.661,416.657,64.3856,558.142,378.489,502.423
-620.448,416.26,64.7407,557.756,377.651,502.081
-620.833,415.422,64.3986,557.835,377.624,501.92
-620.755,415.395,64.2379,557.905,377.557,501.94
-620.685,415.328,64.2575,557.887,377.94,501.91
-620.702,415.711,64.2279,557.634,377.776,501.652
