x-value, y-value
2.71828,1
2.72828,1.00368
2.73828,1.00733
2.74828,1.01096
2.75828,1.01456
2.76828,1.01813
2.77828,1.02168
2.78828,1.0252
2.79828,1.0287
2.80828,1.03217
2.81828,1.03562
2.82828,1.03905
2.83828,1.04245
2.84828,1.04583
2.85828,1.04919
2.86828,1.05252
2.87828,1.05583
2.88828,1.05913
2.89828,1.06239
2.90828,1.06564
2.91828,1.06887
2.92828,1.07207
2.93828,1.07526
2.94828,1.07842
2.95828,1.08157
2.96828,1.0847
2.97828,1.0878
2.98828,1.09089
2.99828,1.09396
3.00828,1.097
3.01828,1.10003
3.02828,1.10305
3.03828,1.10604
3.04828,1.10902
3.05828,1.11197
3.06828,1.11491
3.07828,1.11784
3.08828,1.12074
3.09828,1.12363
3.10828,1.12651
3.11828,1.12936
3.12828,1.1322
3.13828,1.13502
3.14828,1.13783
3.15828,1.14062
3.16828,1.1434
3.17828,1.14616
3.18828,1.1489
3.19828,1.15163
3.20828,1.15435
3.21828,1.15705
3.22828,1.15974
3.23828,1.16241
3.24828,1.16506
3.25828,1.16771
3.26828,1.17033
3.27828,1.17295
3.28828,1.17555
3.29828,1.17814
3.30828,1.18071
3.31828,1.18327
3.32828,1.18582
3.33828,1.18835
3.34828,1.19087
3.35828,1.19338
3.36828,1.19587
3.37828,1.19836
3.38828,1.20083
3.39828,1.20328
3.40828,1.20573
3.41828,1.20816
3.42828,1.21058
3.43828,1.21299
3.44828,1.21539
3.45828,1.21778
3.46828,1.22015
3.47828,1.22252
3.48828,1.22487
3.49828,1.22721
3.50828,1.22954
3.51828,1.23186
3.52828,1.23416
3.53828,1.23646
3.54828,1.23874
3.55828,1.24102
3.56828,1.24328
3.57828,1.24554
3.58828,1.24778
3.59828,1.25002
3.60828,1.25224
3.61828,1.25445
3.62828,1.25666
3.63828,1.25885
3.64828,1.26103
3.65828,1.26321
3.66828,1.26537
3.67828,1.26752
3.68828,1.26967
3.69828,1.2718
3.70828,1.27393
3.71828,1.27605
3.72828,1.27815
3.73828,1.28025
3.74828,1.28234
3.75828,1.28442
3.76828,1.28649
3.77828,1.28856
3.78828,1.29061
3.79828,1.29266
3.80828,1.29469
3.81828,1.29672
3.82828,1.29874
3.83828,1.30075
3.84828,1.30276
3.85828,1.30475
3.86828,1.30674
3.87828,1.30871
3.88828,1.31069
3.89828,1.31265
3.90828,1.3146
3.91828,1.31655
3.92828,1.31849
3.93828,1.32042
3.94828,1.32234
3.95828,1.32426
3.96828,1.32616
3.97828,1.32806
3.98828,1.32996
3.99828,1.33184
4.00828,1.33372
4.01828,1.33559
4.02828,1.33745
4.03828,1.33931
4.04828,1.34116
4.05828,1.343
4.06828,1.34483
4.07828,1.34666
4.08828,1.34848
4.09828,1.3503
4.10828,1.3521
4.11828,1.3539
4.12828,1.3557
4.13828,1.35748
4.14828,1.35927
4.15828,1.36104
4.16828,1.36281
4.17828,1.36457
4.18828,1.36632
4.19828,1.36807
4.20828,1.36981
4.21828,1.37154
4.22828,1.37327
4.23828,1.37499
4.24828,1.37671
4.25828,1.37842
4.26828,1.38012
4.27828,1.38182
4.28828,1.38351
4.29828,1.3852
4.30828,1.38688
4.31828,1.38855
4.32828,1.39022
4.33828,1.39188
4.34828,1.39354
4.35828,1.39519
4.36828,1.39683
4.37828,1.39847
4.38828,1.4001
4.39828,1.40173
4.40828,1.40335
4.41828,1.40497
4.42828,1.40658
4.43828,1.40819
4.44828,1.40979
4.45828,1.41138
4.46828,1.41297
4.47828,1.41455
4.48828,1.41613
4.49828,1.41771
4.50828,1.41927
4.51828,1.42084
4.52828,1.42239
4.53828,1.42395
4.54828,1.42549
4.55828,1.42704
4.56828,1.42857
4.57828,1.43011
4.58828,1.43163
4.59828,1.43316
4.60828,1.43467
4.61828,1.43619
4.62828,1.43769
4.63828,1.4392
4.64828,1.44069
4.65828,1.44219
4.66828,1.44368
4.67828,1.44516
4.68828,1.44664
4.69828,1.44811
4.70828,1.44958
4.71828,1.45105
4.72828,1.45251
4.73828,1.45397
4.74828,1.45542
4.75828,1.45686
4.76828,1.45831
4.77828,1.45974
4.78828,1.46118
4.79828,1.46261
4.80828,1.46403
4.81828,1.46545
4.82828,1.46687
4.83828,1.46828
4.84828,1.46969
4.85828,1.47109
4.86828,1.47249
4.87828,1.47389
4.88828,1.47528
4.89828,1.47666
4.90828,1.47805
4.91828,1.47942
4.92828,1.4808
4.93828,1.48217
4.94828,1.48354
4.95828,1.4849
4.96828,1.48626
4.97828,1.48761
4.98828,1.48896
4.99828,1.49031
5.00828,1.49165
5.01828,1.49299
5.02828,1.49432
5.03828,1.49565
5.04828,1.49698
5.05828,1.4983
5.06828,1.49962
5.07828,1.50094
5.08828,1.50225
5.09828,1.50356
5.10828,1.50486
5.11828,1.50616
5.12828,1.50746
5.13828,1.50876
5.14828,1.51005
5.15828,1.51133
5.16828,1.51261
5.17828,1.51389
5.18828,1.51517
5.19828,1.51644
5.20828,1.51771
5.21828,1.51897
5.22828,1.52024
5.23828,1.52149
5.24828,1.52275
5.25828,1.524
5.26828,1.52525
5.27828,1.52649
5.28828,1.52773
5.29828,1.52897
5.30828,1.53021
5.31828,1.53144
5.32828,1.53267
5.33828,1.53389
5.34828,1.53511
5.35828,1.53633
5.36828,1.53754
5.37828,1.53876
5.38828,1.53996
5.39828,1.54117
5.40828,1.54237
5.41828,1.54357
5.42828,1.54477
5.43828,1.54596
