x-value, y-value
2.71828,1
2.71928,1.00037
2.72028,1.00074
2.72128,1.0011
2.72228,1.00147
2.72328,1.00184
2.72428,1.0022
2.72528,1.00257
2.72628,1.00293
2.72728,1.0033
2.72828,1.00367
2.72928,1.00403
2.73028,1.0044
2.73128,1.00476
2.73228,1.00512
2.73328,1.00549
2.73428,1.00585
2.73528,1.00622
2.73628,1.00658
2.73728,1.00694
2.73828,1.00731
2.73928,1.00767
2.74028,1.00803
2.74128,1.00839
2.74228,1.00875
2.74328,1.00912
2.74428,1.00948
2.74528,1.00984
2.74628,1.0102
2.74728,1.01056
2.74828,1.01092
2.74928,1.01128
2.75028,1.01164
2.75128,1.012
2.75228,1.01236
2.75328,1.01272
2.75428,1.01307
2.75528,1.01343
2.75628,1.01379
2.75728,1.01415
2.75828,1.01451
2.75928,1.01486
2.76028,1.01522
2.76128,1.01558
2.76228,1.01593
2.76328,1.01629
2.76428,1.01665
2.76528,1.017
2.76628,1.01736
2.76728,1.01771
2.76828,1.01807
2.76928,1.01842
2.77028,1.01878
2.77128,1.01913
2.77228,1.01948
2.77328,1.01984
2.77428,1.02019
2.77528,1.02055
2.77628,1.0209
2.77728,1.02125
2.77828,1.0216
2.77928,1.02196
2.78028,1.02231
2.78128,1.02266
2.78228,1.02301
2.78328,1.02336
2.78428,1.02371
2.78528,1.02406
2.78628,1.02441
2.78728,1.02476
2.78828,1.02511
2.78928,1.02546
2.79028,1.02581
2.79128,1.02616
2.79228,1.02651
2.79328,1.02686
2.79428,1.02721
2.79528,1.02756
2.79628,1.02791
2.79728,1.02825
2.79828,1.0286
2.79928,1.02895
2.80028,1.0293
2.80128,1.02964
2.80228,1.02999
2.80328,1.03034
2.80428,1.03068
2.80528,1.03103
2.80628,1.03137
2.80728,1.03172
2.80828,1.03206
2.80928,1.03241
2.81028,1.03275
2.81128,1.0331
2.81228,1.03344
2.81328,1.03379
2.81428,1.03413
2.81528,1.03447
2.81628,1.03482
2.81728,1.03516
2.81828,1.0355
2.81928,1.03585
2.82028,1.03619
2.82128,1.03653
2.82228,1.03687
2.82328,1.03721
2.82428,1.03756
2.82528,1.0379
2.82628,1.03824
2.82728,1.03858
2.82828,1.03892
2.82928,1.03926
2.83028,1.0396
2.83128,1.03994
2.83228,1.04028
2.83328,1.04062
2.83428,1.04096
2.83528,1.0413
2.83628,1.04163
2.83728,1.04197
2.83828,1.04231
2.83928,1.04265
2.84028,1.04299
2.84128,1.04332
2.84228,1.04366
2.84328,1.044
2.84428,1.04434
2.84528,1.04467
2.84628,1.04501
2.84728,1.04535
2.84828,1.04568
2.84928,1.04602
2.85028,1.04635
2.85128,1.04669
2.85228,1.04702
2.85328,1.04736
2.85428,1.04769
2.85528,1.04803
2.85628,1.04836
2.85728,1.04869
2.85828,1.04903
2.85928,1.04936
2.86028,1.04969
2.86128,1.05003
2.86228,1.05036
2.86328,1.05069
2.86428,1.05103
2.86528,1.05136
2.86628,1.05169
2.86728,1.05202
2.86828,1.05235
2.86928,1.05268
2.87028,1.05301
2.87128,1.05335
2.87228,1.05368
2.87328,1.05401
2.87428,1.05434
2.87528,1.05467
2.87628,1.055
2.87728,1.05533
2.87828,1.05566
2.87928,1.05598
2.88028,1.05631
2.88128,1.05664
2.88228,1.05697
2.88328,1.0573
2.88428,1.05763
2.88528,1.05795
2.88628,1.05828
2.88728,1.05861
2.88828,1.05894
2.88928,1.05926
2.89028,1.05959
2.89128,1.05992
2.89228,1.06024
2.89328,1.06057
2.89428,1.06089
2.89528,1.06122
2.89628,1.06155
2.89728,1.06187
2.89828,1.0622
2.89928,1.06252
2.90028,1.06284
2.90128,1.06317
2.90228,1.06349
2.90328,1.06382
2.90428,1.06414
2.90528,1.06446
2.90628,1.06479
2.90728,1.06511
2.90828,1.06543
2.90928,1.06576
2.91028,1.06608
2.91128,1.0664
2.91228,1.06672
2.91328,1.06705
2.91428,1.06737
2.91528,1.06769
2.91628,1.06801
2.91728,1.06833
2.91828,1.06865
2.91928,1.06897
2.92028,1.06929
2.92128,1.06961
2.92228,1.06993
2.92328,1.07025
2.92428,1.07057
2.92528,1.07089
2.92628,1.07121
2.92728,1.07153
2.92828,1.07185
2.92928,1.07217
2.93028,1.07248
2.93128,1.0728
2.93228,1.07312
2.93328,1.07344
2.93428,1.07376
2.93528,1.07407
2.93628,1.07439
2.93728,1.07471
2.93828,1.07502
2.93928,1.07534
2.94028,1.07566
2.94128,1.07597
2.94228,1.07629
2.94328,1.07661
2.94428,1.07692
2.94528,1.07724
2.94628,1.07755
2.94728,1.07787
2.94828,1.07818
2.94928,1.0785
2.95028,1.07881
2.95128,1.07912
2.95228,1.07944
2.95328,1.07975
2.95428,1.08007
2.95528,1.08038
2.95628,1.08069
2.95728,1.081
2.95828,1.08132
2.95928,1.08163
2.96028,1.08194
2.96128,1.08225
2.96228,1.08257
2.96328,1.08288
2.96428,1.08319
2.96528,1.0835
2.96628,1.08381
2.96728,1.08412
2.96828,1.08443
2.96928,1.08474
2.97028,1.08506
2.97128,1.08537
2.97228,1.08568
2.97328,1.08599
2.97428,1.0863
2.97528,1.0866
2.97628,1.08691
2.97728,1.08722
2.97828,1.08753
2.97928,1.08784
2.98028,1.08815
2.98128,1.08846
2.98228,1.08877
2.98328,1.08907
2.98428,1.08938
2.98528,1.08969
2.98628,1.09
2.98728,1.0903
2.98828,1.09061
2.98928,1.09092
2.99028,1.09122
2.99128,1.09153
2.99228,1.09184
2.99328,1.09214
2.99428,1.09245
2.99528,1.09275
2.99628,1.09306
2.99728,1.09336
2.99828,1.09367
2.99928,1.09397
3.00028,1.09428
