x-value, y-value
2.71828,1
2.71928,1.00037
2.72028,1.00074
2.72128,1.0011
2.72228,1.00147
2.72328,1.00184
2.72428,1.0022
2.72528,1.00257
2.72628,1.00293
2.72728,1.0033
2.72828,1.00367
2.72928,1.00403
2.73028,1.0044
2.73128,1.00476
2.73228,1.00512
2.73328,1.00549
2.73428,1.00585
2.73528,1.00622
2.73628,1.00658
2.73728,1.00694
2.73828,1.0073
2.73928,1.00767
2.74028,1.00803
2.74128,1.00839
2.74228,1.00875
2.74328,1.00911
2.74428,1.00947
2.74528,1.00984
2.74628,1.0102
2.74728,1.01056
2.74828,1.01092
2.74928,1.01128
2.75028,1.01164
2.75128,1.01199
2.75228,1.01235
2.75328,1.01271
2.75428,1.01307
2.75528,1.01343
2.75628,1.01379
2.75728,1.01415
2.75828,1.0145
2.75928,1.01486
2.76028,1.01522
2.76128,1.01557
2.76228,1.01593
2.76328,1.01629
2.76428,1.01664
2.76528,1.017
2.76628,1.01735
2.76728,1.01771
2.76828,1.01806
2.76928,1.01842
2.77028,1.01877
2.77128,1.01913
2.77228,1.01948
2.77328,1.01983
2.77428,1.02019
2.77528,1.02054
2.77628,1.02089
2.77728,1.02125
2.77828,1.0216
2.77928,1.02195
2.78028,1.0223
2.78128,1.02266
2.78228,1.02301
2.78328,1.02336
2.78428,1.02371
2.78528,1.02406
2.78628,1.02441
2.78728,1.02476
2.78828,1.02511
2.78928,1.02546
2.79028,1.02581
2.79128,1.02616
2.79228,1.02651
2.79328,1.02686
2.79428,1.02721
2.79528,1.02755
2.79628,1.0279
2.79728,1.02825
2.79828,1.0286
2.79928,1.02894
2.80028,1.02929
2.80128,1.02964
2.80228,1.02998
2.80328,1.03033
2.80428,1.03068
2.80528,1.03102
2.80628,1.03137
2.80728,1.03171
2.80828,1.03206
2.80928,1.0324
2.81028,1.03275
2.81128,1.03309
2.81228,1.03344
2.81328,1.03378
2.81428,1.03412
2.81528,1.03447
2.81628,1.03481
2.81728,1.03515
2.81828,1.0355
2.81928,1.03584
2.82028,1.03618
2.82128,1.03652
2.82228,1.03687
2.82328,1.03721
2.82428,1.03755
2.82528,1.03789
2.82628,1.03823
2.82728,1.03857
2.82828,1.03891
2.82928,1.03925
2.83028,1.03959
2.83128,1.03993
2.83228,1.04027
2.83328,1.04061
2.83428,1.04095
2.83528,1.04129
2.83628,1.04163
2.83728,1.04197
2.83828,1.0423
2.83928,1.04264
2.84028,1.04298
2.84128,1.04332
2.84228,1.04365
2.84328,1.04399
2.84428,1.04433
2.84528,1.04466
2.84628,1.045
2.84728,1.04534
2.84828,1.04567
2.84928,1.04601
2.85028,1.04634
2.85128,1.04668
2.85228,1.04701
2.85328,1.04735
2.85428,1.04768
2.85528,1.04802
2.85628,1.04835
2.85728,1.04869
2.85828,1.04902
2.85928,1.04935
2.86028,1.04969
2.86128,1.05002
2.86228,1.05035
2.86328,1.05068
2.86428,1.05102
2.86528,1.05135
2.86628,1.05168
2.86728,1.05201
2.86828,1.05234
2.86928,1.05267
2.87028,1.05301
2.87128,1.05334
2.87228,1.05367
2.87328,1.054
2.87428,1.05433
2.87528,1.05466
2.87628,1.05499
2.87728,1.05532
2.87828,1.05565
2.87928,1.05597
2.88028,1.0563
2.88128,1.05663
2.88228,1.05696
2.88328,1.05729
2.88428,1.05762
2.88528,1.05794
2.88628,1.05827
2.88728,1.0586
2.88828,1.05893
2.88928,1.05925
2.89028,1.05958
2.89128,1.05991
2.89228,1.06023
2.89328,1.06056
2.89428,1.06088
2.89528,1.06121
2.89628,1.06153
2.89728,1.06186
2.89828,1.06218
2.89928,1.06251
2.90028,1.06283
2.90128,1.06316
2.90228,1.06348
2.90328,1.06381
2.90428,1.06413
2.90528,1.06445
2.90628,1.06478
2.90728,1.0651
2.90828,1.06542
2.90928,1.06575
2.91028,1.06607
2.91128,1.06639
2.91228,1.06671
2.91328,1.06703
2.91428,1.06736
2.91528,1.06768
2.91628,1.068
2.91728,1.06832
2.91828,1.06864
2.91928,1.06896
2.92028,1.06928
2.92128,1.0696
2.92228,1.06992
2.92328,1.07024
2.92428,1.07056
2.92528,1.07088
2.92628,1.0712
2.92728,1.07152
2.92828,1.07184
2.92928,1.07215
2.93028,1.07247
2.93128,1.07279
2.93228,1.07311
2.93328,1.07343
2.93428,1.07374
2.93528,1.07406
2.93628,1.07438
2.93728,1.07469
2.93828,1.07501
2.93928,1.07533
2.94028,1.07564
2.94128,1.07596
2.94228,1.07628
2.94328,1.07659
2.94428,1.07691
2.94528,1.07722
2.94628,1.07754
2.94728,1.07785
2.94828,1.07817
2.94928,1.07848
2.95028,1.0788
2.95128,1.07911
2.95228,1.07942
2.95328,1.07974
2.95428,1.08005
2.95528,1.08036
2.95628,1.08068
2.95728,1.08099
2.95828,1.0813
2.95928,1.08162
2.96028,1.08193
2.96128,1.08224
2.96228,1.08255
2.96328,1.08286
2.96428,1.08318
2.96528,1.08349
2.96628,1.0838
2.96728,1.08411
2.96828,1.08442
2.96928,1.08473
2.97028,1.08504
2.97128,1.08535
2.97228,1.08566
2.97328,1.08597
2.97428,1.08628
2.97528,1.08659
2.97628,1.0869
2.97728,1.08721
2.97828,1.08752
2.97928,1.08783
2.98028,1.08813
2.98128,1.08844
2.98228,1.08875
2.98328,1.08906
2.98428,1.08937
2.98528,1.08967
2.98628,1.08998
2.98728,1.09029
2.98828,1.09059
2.98928,1.0909
2.99028,1.09121
2.99128,1.09151
2.99228,1.09182
2.99328,1.09213
2.99428,1.09243
2.99528,1.09274
2.99628,1.09304
2.99728,1.09335
2.99828,1.09365
2.99928,1.09396
3.00028,1.09426
